id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,likes_missing,comments,views,views_missing,owner_username,pillar,engagement_score
3712803652156321508,reel,Video,clips,https://www.instagram.com/p/DOGh0AXjO7k/,DOGh0AXjO7k,2025-09-02T13:45:44.000Z,2025-09-02,Tuesday,13,Afro-house. Al fresco. Saturdays @ #TREEHOUSE Hosted by @b.frvnkie 7pm! #reels #afrohouse #alfresco #dinner #goodfood #foodinsta #weekendplans #weekendvibes #saturdaynight #accranightlife #funtimes,197,12,treehouse reels afrohouse alfresco dinner goodfood foodinsta weekendplans weekendvibes saturdaynight accranightlife funtimes,1,b.frvnkie,311,false,1,105501,false,treehousegh,food,1371.01
3754060885157648374,reel,Video,clips,https://www.instagram.com/p/DQZGnw1Apf2/,DQZGnw1Apf2,2025-10-29T11:57:13.000Z,2025-10-29,Wednesday,11,Enjoy 10% OFF your favorite dish from @treehousegh today only! Don’t miss out on this delicious offer! #discount #anniversary #explorepage✨ #accra,146,5,discount anniversary explorepage✨ accra explorepage,1,treehousegh,13,false,1,1060,false,menufinderafrica,food,28.6
3752818015609117780,reel,Video,clips,https://www.instagram.com/p/DQUsBoXEVxU/,DQUsBoXEVxU,2025-10-27T18:59:19.000Z,2025-10-27,Monday,18,"What does our digital future look, feel, and dream like? Join us for BLUR: Dreaming in Data, an immersive exhibition celebrating a new international partnership between @NieuweInstituut , @LimboMuseum, and @lumako.xyz This is the start of something big: a dedicated platform for the digital arts in Ghana. We’re kicking it off by bringing together six groundbreaking artists—three from Ghana and three from the Nieuwe Instituut’s -1 Residency—to explore the new paradigms shaping our world. Come for the boundary-pushing art, stay for the conversation and celebration. We invite you to be part of this future. Supported by the Dutch Embassy. 🗓️ DATE: NOV 1st ⏰ TIME: 12 PM - 8 PM 📍 LOCATION: TREEHOUSE, OSU, ACCRA 🎟️ ENTRY: 250 GHS (Includes all-day exhibition access, after party + 1 free drink) #digitalarts #nieweinstituut #limbomuseum #lumako #immersiveexperience",870,5,digitalarts nieweinstituut limbomuseum lumako immersiveexperience,4,"nieuweinstituut limbomuseum, lumako.xyz limbomuseum",304,false,29,47057,false,lumako.xyz,cocktails/drinks,919.57
3780086536260669312,reel,Video,clips,https://www.instagram.com/p/DR1kK1ODc-A/,DR1kK1ODc-A,2025-12-04T09:44:38.000Z,2025-12-04,Thursday,9,Guess who’s coming for Entertainment Week Ghana ? @the_odditty !! Entertainment Week Ghana 🇬🇭 ( @entertainment.weekgh ) presents the most anticipated fashion part this Detty December in Accra in collaboration with @akwaabauk and @debonairafrik ! The Atalé Fashion Party Sunday 26th December Loc | @treehousegh Designers | @christiebrowngh @chocolateclothesglobal @cacao_clothing_gh @freetheyouth_ghana @fearnomanclothing @bloombyedzi @olkstudioz Tickets available at www.entertainmentweekghana.com,499,0,,12,the_odditty entertainment.weekgh akwaabauk debonairafrik treehousegh christiebrowngh chocolateclothesglobal cacao_clothing_gh freetheyouth_ghana fearnomanclothing bloombyedzi olkstudioz,0,true,1,3120,false,blacvolta,birthdays/celebrations,36.2
3744052281940422267,reel,Video,clips,https://www.instagram.com/p/DP1i7atjK57/,DP1i7atjK57,2025-10-15T16:30:37.000Z,2025-10-15,Wednesday,16,The throwback to the throwback. Soul Fridays every Friday at 7pm! #reels #treehouserestaurant #goodfood #soulmusic,114,4,reels treehouserestaurant goodfood soulmusic,0,,13,false,0,1896,false,treehousegh,food,31.96
3664191068809256313,reel,Video,clips,https://www.instagram.com/p/DLZ0l0FiN15/,DLZ0l0FiN15,2025-06-27T12:00:17.000Z,2025-06-27,Friday,12,"Soul Fridays bring the best throwback soul and R&B vibes to your dinner table every week. Come for the music, stay for the flavor. #treehouserestaurant #SoulMusic #soulfriday #reels #dinner #food",195,6,treehouserestaurant soulmusic soulfriday reels dinner food,0,,19,false,0,1879,false,treehousegh,food,37.79
3667845854394018767,reel,Video,clips,https://www.instagram.com/p/DLmzl8aC2vP/,DLmzl8aC2vP,2025-07-02T13:04:28.000Z,2025-07-02,Wednesday,13,"If it makes you say ""that's my song!"", then you're in the right place. SOUL FRIDAY's got Temple XTD on the deck while you dine and dance like nobody’s watching. Book a table. Bring your people. Let's have fun. Every Friday, 7:00pm only at Treehouse Restaurant Find us at Osu, Nyaniba Estate opposite Buro and for reservations, call 0599400737 #treehouserestaurant #soulfriday #reels #fridaynight #explore #foodlover #goodfood #soulmusic",436,8,treehouserestaurant soulfriday reels fridaynight explore foodlover goodfood soulmusic,0,,102,false,1,6704,false,treehousegh,food,174.04
3662016940593642304,reel,Video,clips,https://www.instagram.com/p/DLSGQFZi_tA/,DLSGQFZi_tA,2025-06-24T12:00:32.000Z,2025-06-24,Tuesday,12,Live music + amazing food = your new favorite Tuesday tradition. Join us this and every Tuesday @treehousegh #treehouserestaurant #livemusic #liveband #reels #food #dinner #goodfood,181,7,treehouserestaurant livemusic liveband reels food dinner goodfood,1,treehousegh,23,false,0,1574,false,treehousegh,food,38.74
3657076098936604268,reel,Video,clips,https://www.instagram.com/p/DLAi1YBsAZs/,DLAi1YBsAZs,2025-06-17T16:29:20.000Z,2025-06-17,Tuesday,16,"POV: You were at the first house music coffee party in Ghana 🇬🇭☕🎶 Vibes, movement, and something you’ve never seen before. S/O @cafecito_coffee_club . Huge love to everyone who pulled up — this is only the beginning. 🎧 Next one? Stay tuned 👀 #wedey #housemusicghana #treehouseghana #cafecito #povdj",303,5,wedey housemusicghana treehouseghana cafecito povdj,1,cafecito_coffee_club,433,false,58,15528,false,wedeymusic,ambience/decor/vibe,878.28
3709836679794160403,reel,Video,clips,https://www.instagram.com/p/DN7_M4B2HMT/,DN7_M4B2HMT,2025-08-29T11:30:30.000Z,2025-08-29,Friday,11,Feel the nostalgia. Taste the flavor. Soul Fridays hit different. #treehouserestaurant #soulmusic #rnb #throwback,113,4,treehouserestaurant soulmusic rnb throwback,0,,951,false,5,85176,false,treehousegh,food,1827.76
3663466001767009326,reel,Video,clips,https://www.instagram.com/p/DLXPusyCwwu/,DLXPusyCwwu,2025-06-26T12:00:34.000Z,2025-06-26,Thursday,12,Family dinners like these are what we live for. Good food and moments that last a lifetime.Come make memories with us. #treehouserestaurant #dinner #reels #dinnertime #foodlover #food #familytime,195,7,treehouserestaurant dinner reels dinnertime foodlover food familytime,0,,15,false,0,1647,false,treehousegh,food,31.47
3654044220603238809,reel,Video,clips,https://www.instagram.com/p/DK1xdvSoAmZ/,DK1xdvSoAmZ,2025-06-12T12:00:40.000Z,2025-06-12,Thursday,12,"SOUL FRIDAY with @templegramme is your new Friday ritual. Come through for throwback soul, r&b, food that hits and a vibe you'll want every weekend #treehouserestaurant #soulfriday #dinner #soulmusic #weekendvibes #goodfood",223,6,treehouserestaurant soulfriday dinner soulmusic weekendvibes goodfood,1,templegramme,17,false,0,1347,false,treehousegh,food,30.47
