id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,comments,views,owner_username,pillar,engagement_score
3666365413132452394,post,Sidecar,,https://www.instagram.com/p/DLhi-sCicIq/,DLhi-sCicIq,2025-06-30T12:00:52.000Z,2025-06-30,Monday,12,"Evenings like this are made for great food, laughter, and unforgettable company. Welcome to your new favorite dinner spot. #treehouserestaurant #dinnertime #goodfood #foodie",173,4,treehouserestaurant dinnertime goodfood foodie,0,,18,0,0,treehousegh,food,18
3678746895863846003,post,Sidecar,,https://www.instagram.com/p/DMNiM-aiRRz/,DMNiM-aiRRz,2025-07-17T14:00:07.000Z,2025-07-17,Thursday,14,Ready for your turn at the table? RSVP now on 0599400737 #treehouserestaurant #dinner #lunchtime #goodfood #goodvibesonly,121,5,treehouserestaurant dinner lunchtime goodfood goodvibesonly,0,,10,0,0,treehousegh,food,10
3659117811043302189,post,Sidecar,,https://www.instagram.com/p/DLHzEMminst/,DLHzEMminst,2025-06-17T13:21:33.000Z,2025-06-17,Tuesday,13,"Just people, plates and pure joy #treehouserestaurant #lunch #dinner #goodfood #foodie #foodinsta #foodlover",108,7,treehouserestaurant lunch dinner goodfood foodie foodinsta foodlover,0,,28,0,0,treehousegh,food,28
3672254391119271931,post,Sidecar,,https://www.instagram.com/p/DL2d-mLiFf7/,DL2d-mLiFf7,2025-07-08T15:00:43.000Z,2025-07-08,Tuesday,15,Smiles this big only happen when the food hits just right 😍 Come taste the joy for yourself! #treehouserestaurant #dinner #goodfood #lunch #foodie,147,5,treehouserestaurant dinner goodfood lunch foodie,0,,21,0,0,treehousegh,food,21
3663466001767009326,post,Video,clips,https://www.instagram.com/p/DLXPusyCwwu/,DLXPusyCwwu,2025-06-26T12:00:34.000Z,2025-06-26,Thursday,12,Family dinners like these are what we live for. Good food and moments that last a lifetime.Come make memories with us. #treehouserestaurant #dinner #reels #dinnertime #foodlover #food #familytime,195,7,treehouserestaurant dinner reels dinnertime foodlover food familytime,0,,15,0,1647,treehousegh,food,31.47
3668767316888266453,post,Video,clips,https://www.instagram.com/p/DLqFG_OsCbV/,DLqFG_OsCbV,2025-07-03T19:32:58.000Z,2025-07-03,Thursday,19,"It’s not just a meal, it’s an experience. Make memories at our table. #treehouserestaurant #reels #dinner #foodlover #goodfood #explore #goodtimes",146,7,treehouserestaurant reels dinner foodlover goodfood explore goodtimes,0,,19,0,1919,treehousegh,food,38.19
3664191068809256313,post,Video,clips,https://www.instagram.com/p/DLZ0l0FiN15/,DLZ0l0FiN15,2025-06-27T12:00:17.000Z,2025-06-27,Friday,12,"Soul Fridays bring the best throwback soul and R&B vibes to your dinner table every week. Come for the music, stay for the flavor. #treehouserestaurant #SoulMusic #soulfriday #reels #dinner #food",195,6,treehouserestaurant soulmusic soulfriday reels dinner food,0,,19,0,1879,treehousegh,food,37.79
3662016940593642304,post,Video,clips,https://www.instagram.com/p/DLSGQFZi_tA/,DLSGQFZi_tA,2025-06-24T12:00:32.000Z,2025-06-24,Tuesday,12,Live music + amazing food = your new favorite Tuesday tradition. Join us this and every Tuesday @treehousegh #treehouserestaurant #livemusic #liveband #reels #food #dinner #goodfood,181,7,treehouserestaurant livemusic liveband reels food dinner goodfood,1,treehousegh,23,0,1574,treehousegh,food,38.74
3668539659745029458,post,Sidecar,,https://www.instagram.com/p/DLpRWI_iO1S/,DLpRWI_iO1S,2025-07-03T12:00:17.000Z,2025-07-03,Thursday,12,Tag your dinner crew 🍴👇 Who are you bringing next time? #DineTogether #YourTableIsWaiting,91,2,dinetogether yourtableiswaiting,0,,66,1,0,treehousegh,dinner/nightlife,71
3654044220603238809,post,Video,clips,https://www.instagram.com/p/DK1xdvSoAmZ/,DK1xdvSoAmZ,2025-06-12T12:00:40.000Z,2025-06-12,Thursday,12,"SOUL FRIDAY with @templegramme is your new Friday ritual. Come through for throwback soul, r&b, food that hits and a vibe you'll want every weekend #treehouserestaurant #soulfriday #dinner #soulmusic #weekendvibes #goodfood",223,6,treehouserestaurant soulfriday dinner soulmusic weekendvibes goodfood,1,templegramme,17,0,1347,treehousegh,food,30.47
